GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parcinfo3-api,com.parcinfo.dto,AuthenticationRequest.AuthenticationRequestBuilder,6,21,0,0,0,1,1,4,1,4
parcinfo3-api,com.parcinfo.dto,AuthenticationRequest,98,30,22,0,0,6,15,7,4,7
parcinfo3-api,com.parcinfo.dto,RegisterRequest,164,50,38,0,0,8,23,11,4,11
parcinfo3-api,com.parcinfo.dto,RegisterRequest.RegisterRequestBuilder,10,35,0,0,0,1,1,6,1,6
parcinfo3-api,com.parcinfo.dto,AuthenticationResponse.AuthenticationResponseBuilder,4,14,0,0,0,1,1,3,1,3
parcinfo3-api,com.parcinfo.dto,AuthenticationResponse,72,13,14,0,2,3,13,3,6,3
parcinfo3-api,com.parcinfo.validation,PersonneValidator,150,3,40,0,29,1,21,1,1,1
parcinfo3-api,com.parcinfo.validation,OrdinateurPortableValidator,6,108,9,25,2,20,9,10,0,2
parcinfo3-api,com.parcinfo.validation,ObjetNomadeValidator,40,191,32,44,10,32,32,8,0,2
parcinfo3-api,com.parcinfo.validation,TabletteValidator,6,96,3,27,2,18,3,14,0,2
parcinfo3-api,com.parcinfo.validation,PeripheriqueValidator,49,3,14,0,10,1,8,1,1,1
parcinfo3-api,com.parcinfo.validation,SmartphoneValidator,0,85,4,20,0,16,4,11,0,3
parcinfo3-api,com.parcinfo,ParcInfoApplication,5,3,0,0,2,1,1,1,1,1
parcinfo3-api,com.parcinfo.model,OrdinateurPortable,52,310,22,50,0,11,22,35,1,20
parcinfo3-api,com.parcinfo.model,ObjetNomade.EtatObjetNomade,0,33,0,0,0,6,0,1,0,1
parcinfo3-api,com.parcinfo.model,Personne,155,368,61,41,0,15,56,24,7,22
parcinfo3-api,com.parcinfo.model,Peripherique.EtatPeripherique,0,33,0,0,0,6,0,1,0,1
parcinfo3-api,com.parcinfo.model,Role,90,81,19,11,0,12,18,10,5,8
parcinfo3-api,com.parcinfo.model,Smartphone,147,15,32,0,4,1,23,4,7,4
parcinfo3-api,com.parcinfo.model,Tablette,105,17,24,0,1,3,16,5,4,5
parcinfo3-api,com.parcinfo.model,User,292,28,54,0,13,3,49,3,22,3
parcinfo3-api,com.parcinfo.model,Appareil,193,8,38,0,5,2,31,1,12,1
parcinfo3-api,com.parcinfo.model,RoleType,0,18,0,0,0,4,0,2,0,2
parcinfo3-api,com.parcinfo.model,TypeObjetNomade,3,116,0,0,1,19,1,2,1,2
parcinfo3-api,com.parcinfo.model,Peripherique,440,83,102,0,4,13,58,23,7,23
parcinfo3-api,com.parcinfo.model,Ordinateur,107,8,20,0,4,2,18,1,8,1
parcinfo3-api,com.parcinfo.model,Parc,193,8,38,0,5,2,31,1,12,1
parcinfo3-api,com.parcinfo.model,Affectation,59,139,22,16,0,6,21,11,3,10
parcinfo3-api,com.parcinfo.model,TypeEmplacement,152,3,30,0,4,1,25,1,10,1
parcinfo3-api,com.parcinfo.model,ObjetNomade,234,683,90,88,0,25,83,55,8,41
parcinfo3-api,com.parcinfo.model,User.UserBuilder,15,49,0,0,0,1,1,8,1,8
parcinfo3-api,com.parcinfo.model,TypePeripherique,3,193,0,0,1,30,1,2,1,2
parcinfo3-api,com.parcinfo.model,Utilisateur,260,11,50,0,6,3,41,1,16,1
parcinfo3-api,com.parcinfo.model,Emplacement,194,3,38,0,5,1,31,1,12,1
parcinfo3-api,com.parcinfo.service.impl,OrdinateurPortableServiceImpl,30,3,0,0,6,1,5,1,5,1
parcinfo3-api,com.parcinfo.exception,GlobalExceptionHandler,15,31,0,0,3,8,1,3,1,3
parcinfo3-api,com.parcinfo.security,JwtTokenProvider,59,7,0,0,19,3,3,1,3,1
parcinfo3-api,com.parcinfo.security,JwtAuthenticationFilter,52,20,9,1,12,5,5,2,0,2
parcinfo3-api,com.parcinfo.security,JwtService,111,3,4,0,26,1,13,1,11,1
parcinfo3-api,com.parcinfo.security,SecurityConfiguration,0,176,0,0,0,27,0,10,0,10
parcinfo3-api,com.parcinfo.service,PersonneService,25,3,0,0,6,1,5,1,5,1
parcinfo3-api,com.parcinfo.service,AppareilService,50,3,0,0,11,1,10,1,10,1
parcinfo3-api,com.parcinfo.service,EmplacementService,30,3,0,0,7,1,6,1,6,1
parcinfo3-api,com.parcinfo.service,ObjetNomadeService,181,9,2,0,38,1,18,1,17,1
parcinfo3-api,com.parcinfo.service,ParcService,20,3,0,0,5,1,4,1,4,1
parcinfo3-api,com.parcinfo.service,AuthenticationService,0,79,0,0,0,22,0,3,0,3
parcinfo3-api,com.parcinfo.service,TypeEmplacementService,20,3,0,0,5,1,4,1,4,1
parcinfo3-api,com.parcinfo.service,AffectationService,69,3,0,0,15,1,8,1,8,1
parcinfo3-api,com.parcinfo.service,PeripheriqueService,130,6,0,0,27,1,14,1,14,1
parcinfo3-api,com.parcinfo.service,CustomUserDetailsService,13,6,0,0,2,1,2,1,2,1
parcinfo3-api,com.parcinfo.api.response,ApiResponse,155,21,26,0,5,4,24,4,11,4
parcinfo3-api,com.parcinfo.config,WebConfig,0,47,0,0,0,7,0,2,0,2
parcinfo3-api,com.parcinfo.controller,AuthenticationController,0,18,0,0,0,3,0,3,0,3
parcinfo3-api,com.parcinfo.controller,ParcController,63,3,0,0,15,1,7,1,7,1
parcinfo3-api,com.parcinfo.controller,AffectationController,38,3,0,0,9,1,6,1,6,1
parcinfo3-api,com.parcinfo.controller,OrdinateurController,63,3,0,0,15,1,7,1,7,1
parcinfo3-api,com.parcinfo.controller,OrdinateurPortableController,0,83,0,0,0,22,0,10,0,10
parcinfo3-api,com.parcinfo.controller,PeripheriqueController,10,75,0,0,2,20,2,10,2,10
parcinfo3-api,com.parcinfo.controller,WebController,6,3,0,0,3,1,3,1,3,1
parcinfo3-api,com.parcinfo.controller,TypeEmplacementController,63,3,0,0,15,1,7,1,7,1
parcinfo3-api,com.parcinfo.controller,EmplacementController,73,3,0,0,17,1,9,1,9,1
parcinfo3-api,com.parcinfo.controller,ObjetNomadeController,106,6,0,0,28,1,12,1,12,1
parcinfo3-api,com.parcinfo.controller,PersonneController,18,83,2,4,4,14,2,7,1,5
parcinfo3-api,com.parcinfo.controller,AppareilController,89,3,4,0,22,1,12,1,10,1
